lipid,mean30,std30,mean40,std40,mean50,std50
dlpa,54.68,0.96,56.51,1.03,58.12,1.09
dlpc,61.99,1.09,63.11,1.06,64.02,1.13
dlpe,53.16,0.89,54.82,0.92,56.32,0.95
dlpg,64.89,1.21,66.51,1.27,67.87,1.24
dlps,54.48,0.87,56.67,0.94,58.13,1.03
dmpa,43.79,0.40,48.75,3.68,55.92,1.02
dmpc,59.65,1.16,61.25,1.05,62.54,1.12
dmpe,43.14,0.34,44.70,0.54,54.11,0.94
dmpg,62.38,1.25,64.76,1.24,66.67,1.32
dmps,45.97,0.49,53.54,1.05,56.15,1.00
dopa,63.59,1.05,64.96,1.09,66.41,1.12
dopc,67.93,1.04,68.94,1.07,69.92,1.11
dope,61.79,0.96,63.09,1.01,64.28,1.00
dopg,70.90,1.17,72.39,1.17,73.74,1.23
dops,63.30,0.99,64.58,1.05,66.01,1.06
dppa,44.07,0.45,43.16,0.40,43.77,0.52
dppc,51.85,0.73,51.60,0.96,60.84,1.11
dppe,43.63,0.43,44.25,0.46,43.92,0.42
dppg,50.18,0.57,51.86,1.59,64.78,1.32
dpps,46.13,0.41,45.48,0.39,45.79,0.53
dspa,44.92,0.38,44.55,0.70,44.46,0.37
dspc,48.84,0.49,52.64,0.60,49.58,0.53
dspe,43.68,0.32,42.74,0.38,44.11,0.45
dspg,49.10,0.40,47.35,0.62,51.76,0.65
dsps,46.53,0.38,45.33,0.46,45.86,0.39
popa,57.88,1.11,59.94,1.06,61.86,1.10
popc,64.20,1.06,65.39,1.05,66.58,1.12
pope,56.11,0.98,58.05,0.98,59.67,1.04
popg,67.26,1.17,68.90,1.22,70.52,1.31
pops,57.70,0.97,59.78,1.01,61.60,1.04
sopa,57.14,1.10,59.38,1.09,61.33,1.10
sopc,63.96,1.05,65.14,1.09,66.40,1.09
sope,55.41,0.92,57.41,1.00,59.21,1.01
sopg,66.84,1.23,68.64,1.24,70.09,1.26
sops,57.47,0.94,59.52,1.03,61.30,1.09
