lipid,bead1,bead2,bead3,t0,k
dlpa,pha,mid,dl1,173.6364,7.1514
dlpa,mid,dl1,dl2,179.0909,11.4009
dlpc,cho,pho,mid,140.9091,3.7505
dlpc,pho,mid,dl1,179.0909,6.7101
dlpc,mid,dl1,dl2,179.0909,9.4786
dlpe,eth,pho,mid,106.3636,4.6831
dlpe,pho,mid,dl1,177.2727,7.4433
dlpe,mid,dl1,dl2,179.0909,11.9031
dlpg,gly,pho,mid,100.9091,2.9059
dlpg,pho,mid,dl1,179.0909,5.4369
dlpg,mid,dl1,dl2,179.0909,8.9696
dlps,ser,pho,mid,128.1818,8.1513
dlps,pho,mid,dl1,177.2727,7.3486
dlps,mid,dl1,dl2,179.0909,11.5875
dmpa,pha,mid,dm1,177.2727,6.7631
dmpa,mid,dm1,dm2,179.0909,12.3727
dmpc,cho,pho,mid,140.9091,3.7407
dmpc,pho,mid,dm1,179.0909,7.0334
dmpc,mid,dm1,dm2,179.0909,10.1357
dmpe,eth,pho,mid,106.3636,4.8453
dmpe,pho,mid,dm1,179.0909,7.5227
dmpe,mid,dm1,dm2,179.0909,13.0184
dmpg,gly,pho,mid,99.0909,2.6501
dmpg,pho,mid,dm1,179.0909,5.6415
dmpg,mid,dm1,dm2,179.0909,9.4798
dmps,ser,pho,mid,128.1818,8.1785
dmps,pho,mid,dm1,179.0909,7.4593
dmps,mid,dm1,dm2,179.0909,12.7777
dppa,pha,mid,dp1,171.8182,9.4853
dppa,mid,dp1,dp2,179.0909,22.2413
dppa,dp1,dp2,dp3,179.0909,21.1266
dppc,cho,pho,mid,117.2727,3.379
dppc,pho,mid,dp1,179.0909,7.2353
dppc,mid,dp1,dp2,179.0909,11.5372
dppc,dp1,dp2,dp3,179.0909,9.3884
dppe,eth,pho,mid,104.5455,5.6466
dppe,pho,mid,dp1,175.4545,11.6392
dppe,mid,dp1,dp2,179.0909,30.5951
dppe,dp1,dp2,dp3,179.0909,22.4752
dppg,gly,pho,mid,102.7273,3.1117
dppg,pho,mid,dp1,177.2727,6.0854
dppg,mid,dp1,dp2,179.0909,10.5978
dppg,dp1,dp2,dp3,179.0909,8.6826
dpps,ser,pho,mid,128.1818,8.807
dpps,pho,mid,dp1,171.8182,10.1312
dpps,mid,dp1,dp2,179.0909,20.2075
dpps,dp1,dp2,dp3,179.0909,19.9637
dopa,pha,mid,do1,179.0909,5.5459
dopa,mid,do1,do2,179.0909,10.6842
dopa,do1,do2,do3,179.0909,5.057
